route_id,arrival,activity_id,shift_id,longitude,latitude
0,1313.3929999999998,77.0,6.0,6.164640954725753,52.26923206571011
0,1313.3929999999998,19.0,1.0,6.164920810645201,52.271667432284055
0,1577.3869999999997,70.0,5.0,6.171847335821706,52.265259850349985
0,2545.46,53.0,3.0,6.174060133989902,52.26609422196876
0,2927.48,23.0,1.0,6.169236784873054,52.26861117056233
0,3584.9949999999994,72.0,5.0,6.172752925426503,52.26576299780353
0,4103.345,74.0,5.0,6.172842867187443,52.26868713252442
0,4899.289,6.0,0.0,6.171698700003497,52.269982079979044
0,5140.329,42.0,2.0,6.174222859543244,52.27017038369082
0,5513.963,56.0,3.0,6.168241535758633,52.266264075638546
0,6338.840999999999,57.0,3.0,6.17099658084449,52.267746159922844
0,6826.830999999999,44.0,2.0,6.1704912638585325,52.269615181223344
0,7368.576999999999,32.0,1.0,6.173134232440999,52.267903203070695
0,8577.991,33.0,1.0,6.170463700996074,52.269336884391194
0,8872.797,34.0,1.0,6.172621638306363,52.27028683504514
0,9060.734,14.0,0.0,6.173816515463898,52.26940159285602
0,9279.698,15.0,0.0,6.169547416635737,52.270226849051426
0,9706.662,16.0,0.0,6.1749066708006906,52.26594076563782
0,10618.709,17.0,0.0,6.169096699573429,52.26795569061992
0,11281.641000000001,87.0,6.0,6.165953115894239,52.26572453681244
1,1020.0,58.0,4.0,6.160593671904917,52.26743000759968
1,1020.0,36.0,2.0,6.161267590928635,52.26715118687354
1,1183.406,78.0,6.0,6.170034892877699,52.268265649581444
1,1968.926,50.0,3.0,6.17284107712769,52.26565373432514
1,2388.73,79.0,6.0,6.172032954003968,52.26639435796781
1,2398.73,80.0,6.0,6.168429957705577,52.268812420946645
1,2926.078,81.0,6.0,6.146972141130715,52.279304850667906
2,420.0,76.0,6.0,6.173030886655222,52.268414419023884
2,420.0,49.0,3.0,6.1736212703873585,52.2694169679083
2,667.717,35.0,2.0,6.1682689442655665,52.26878040237767
2,1311.8200000000002,51.0,3.0,6.166909356585425,52.26884493916737
2,1625.792,67.0,5.0,6.16634726708938,52.270674431040696
2,1948.25,71.0,5.0,6.166425148087942,52.26984411428777
2,3311.956,24.0,1.0,6.168793000568677,52.270316204758736
2,3912.0709999999995,41.0,2.0,6.166390746128443,52.27223637232801
2,4842.204,7.0,0.0,6.165324061988427,52.272777936946774
3,1020.0,1.0,0.0,6.16412429782571,52.2696953029959
3,1020.0,68.0,5.0,6.164916433246312,52.26997555108513
3,1042.739,18.0,1.0,6.168713786370466,52.271108290662056
3,1451.785,2.0,0.0,6.1750484228651565,52.26781209712188
3,2076.382,37.0,2.0,6.174667193083555,52.269752709909845
3,2395.486,38.0,2.0,6.1746040264415765,52.2703734395981
3,2528.609,39.0,2.0,6.175167474737106,52.26794854931719
3,2779.268,22.0,1.0,6.17533918471556,52.269454583881085
3,3042.3679999999995,4.0,0.0,6.1760357197735445,52.26976444427116
3,3672.379,61.0,4.0,6.1760763611421154,52.270156667067766
3,4267.143,55.0,3.0,6.175860796116168,52.266163389118205
3,5270.08,28.0,1.0,6.1745953410191765,52.268666515747455
3,6978.477,82.0,6.0,6.173382857739955,52.270051969630366
3,7678.584000000001,31.0,1.0,6.1681858929747575,52.269613289740704
3,8088.5740000000005,84.0,6.0,6.166162166901964,52.27127764345815
3,8878.037,47.0,2.0,6.1601671702641845,52.26655637612082
3,9818.300000000001,48.0,2.0,6.157280906275831,52.26827310039635
3,10150.465000000002,86.0,6.0,6.159133656584692,52.26986585850191
4,4289.686,25.0,1.0,6.167334261577324,52.26861626584845
4,4289.686,5.0,0.0,6.1669156117412935,52.26768995798826
4,4537.6089999999995,64.0,4.0,6.166109140564225,52.26852174145761
4,5693.119000000001,8.0,0.0,6.164346475033395,52.26826124294928
4,6183.192999999999,43.0,2.0,6.163781446292922,52.26835112010682
4,6568.317999999999,66.0,4.0,6.168728888313195,52.2684072177528
4,7121.420999999999,83.0,6.0,6.166632322995219,52.268348321415004
4,8448.116,46.0,2.0,6.1698293650453095,52.26614943271316
4,8948.877,85.0,6.0,6.163705567861255,52.26558944290567
5,1429.123,69.0,5.0,6.165510002772473,52.27192091889874
5,1429.123,52.0,3.0,6.166463983011014,52.269237552267384
5,1940.421,21.0,1.0,6.166820056694382,52.267665155386325
5,2372.86,20.0,1.0,6.165259642180407,52.26730031641222
5,2571.962,3.0,0.0,6.168108036722028,52.26659754628434
5,2873.209,73.0,5.0,6.169398847682193,52.26529648690224
5,4324.767,62.0,4.0,6.1691722852695,52.26820169107828
5,5210.0560000000005,63.0,4.0,6.170195423700805,52.268510222897284
5,5321.865000000001,65.0,4.0,6.168906888353296,52.270783241164935
5,6344.159000000001,27.0,1.0,6.170019484632054,52.27235836984348
5,6688.293000000001,29.0,1.0,6.170264116484511,52.27193226858944
5,7479.662,30.0,1.0,6.171873339110128,52.27250553920408
5,7536.388,45.0,2.0,6.170423738198782,52.271781225320616
6,2051.7219999999998,59.0,4.0,6.176467448318099,52.269551873372464
6,2051.7219999999998,60.0,4.0,6.169058605796353,52.2715033345299
6,3084.886,54.0,3.0,6.162527446865955,52.268360527358205
6,4007.078,40.0,2.0,6.162415048360488,52.26816852102849
6,4131.316,26.0,1.0,6.159863951625329,52.267094559196366
6,5241.373,75.0,5.0,6.160688017867598,52.267649693716045
6,6110.013999999999,9.0,0.0,6.1613804123392715,52.2695894124469
6,6524.829,10.0,0.0,6.159335044466599,52.26945360432107
6,6813.8589999999995,11.0,0.0,6.155706010306236,52.270023624486136
6,7178.477,12.0,0.0,6.167752834435843,52.26799991916556
6,8287.634,13.0,0.0,6.168688476133118,52.267017350143554
